"filename", "language", "Markdown", "Python", "YAML", "HTML", "Docker", "pip requirements", "Shell Script", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "CSS", "XML", "Properties", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\kafka_worker.py", "Python", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 209
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\main.py", "Python", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 78
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\models.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\filters.py", "Python", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 157
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\health.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\media.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\moderation.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\schemas.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\loki-config.yaml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\notifications-bot\Dockerfile", "Docker", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\notifications-bot\main.py", "Python", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 136
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\notifications-bot\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser.py", "Python", 0, 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 275, 1714
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\Dockerfile", "Docker", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 21
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\[DEPRECATED]state.py", "Python", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 100
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\activity_monitor.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\config_loader.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\db_models.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\entities.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 1, 177
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\export_entities_to_csv.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\floodwait_manager.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\import_entities_from_csv.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 49
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\kafka_producer.py", "Python", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 73
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\main.py", "Python", 0, 654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 49, 732
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\postgres_state.py", "Python", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\rate_limiter.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\task_queue_manager.py", "Python", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 122
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\test_telethon_download.py", "Python", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 60
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\utils.py", "Python", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 115
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\prometheus.yml", "YAML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\promtail-config.yaml", "YAML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\rainbow-text.html", "HTML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\test_telethon_download.py", "Python", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 61
"Total", "-", 46, 3680, 298, 74, 50, 28, 8, 37, 7, 4302, 348, 98, 2, 27, 27, 176, 334, 652, 10194
